PROPERTY,,Groves at Milford,,,,,,,,,,,
ADDRESS,,14 Colonial Road,,,,,,,,,,,
INSPECTOR,,Yuscelino Vargas,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Monday, November 11, 2013",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
96,Heat Detector,Apt 6,Bedrm 2,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-91
97,Heat Detector,Apt 6,Bedrm 2 closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-92
98,Smoke Detector,1st fl,By Apt 1 ,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-93
99,Pull Station,1st fl,By Apt 1 ,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-94
100,Heat Detector,Apt 4,Kitchen,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-95
101,Bell,Apt 4,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-96
102,Heat Detector,Apt 4,Livin rm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-97
103,Heat Detector,Apt 4,Bathrm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-98
104,Heat Detector,Apt 4,Laundry,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-99
105,Heat Detector,Apt 4,Closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-100
106,Heat Detector,Apt 4,Bedrm 1,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-101
107,Heat Detector,Apt 4,Bedrm 1 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-102
108,Heat Detector,Apt 4,Bedrm 2,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-103
109,Heat Detector,Apt 4,Bedrm 2 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-104
110,Heat Detector,Apt 1 ,Kitchen,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-105
111,Bell,Apt 1 ,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-106
112,Heat Detector,Apt 1,Livin rm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-107
113,Heat Detector,Apt 1,Bathrm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-108
114,Heat Detector,Apt 1,Laundry,TRUE,FALSE,FALSE,,1,Fail,Painted.,,,Fail-6
115,Heat Detector,Apt 1 , Closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-109
116,Heat Detector,Apt 1,bedrm 1,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-110
117,Heat Detector,Apt 1,Bedrm 1 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-111
118,Heat Detector,Apt 1 ,Bedrm 2,TRUE,FALSE,FALSE,,1,Fail,Painted.,,,Fail-7
119,Heat Detector,Apt 1 ,Bedrm 2 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-112
120,Smoke Detector,1st fl,Hallway,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-113
121,Horn Strobe,1st fl,Hallway,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-114
122,Smoke Detector,1st fl,By Apt 2,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-115
123,Pull Station,1st fl,By Apt 2,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-116
124,Heat Detector,Apt 2,Kitchen,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-117
125,Bell,Apt 2,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-118
126,Heat Detector,Apt 2,Livin rm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-119
127,Heat Detector,Apt 2,Bathrm,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-120
128,Heat Detector,Apt 2,Laundry,TRUE,FALSE,FALSE,,1,Fail,Painted.,,,Fail-8
129,Heat Detector,Apt 2,Closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-121
130,Heat Detector,Apt 2,Bedrm 1,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-122
131,Heat Detector,Apt 2,Bedrm 1 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-123
132,Heat Detector,Apt 2,Bedrm 2,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-124
133,Heat Detector,Apt 2,Bedrm 2 closet,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-125
134,Heat Detector,1st fl,Boiler rm ent.,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-126
135,Horn Strobe,1st fl,By FACP,TRUE,FALSE,FALSE,,,Pass,,,,Pass-127
136,Heat Detector,1st fl,By FACP,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-128
137,Heat Detector,1st fl,By Water tank,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-129
138,Heat Detector,1st fl,By Boiler,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-130
139,Horn,1st fl,By exit,TRUE,FALSE,FALSE,,,Pass,,,,Pass-131
140,Pull Station,1st fl,By exit,TRUE,FALSE,FALSE,,1,Pass,,,,Pass-132
141,Horn Strobe,1st fl,Front of bldg.,TRUE,FALSE,FALSE,,,Pass,,,,Pass-133
