PROPERTY,,Keystone Apartments,,,,,,,,,,,
ADDRESS,,151 Hallet Street,,,,,,,,,,,
INSPECTOR,,Nate Donnelly,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Friday, September 26, 2014",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
169,Horn Strobe,4th Floor,Apartment 439 Entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-167
170,Ceiling Strobe,4th Floor,Apartment 439 Bathroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-168
171,Ceiling Horn Strobe,4th Floor,Apartment 439 Bedroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-169
172,Smoke Detector,4th Floor,Hall By Apartment 434,TRUE,FALSE,FALSE,,,Pass,,,,Pass-170
173,Heat Detector,4th Floor,Apartment 432,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-171
174,Horn Strobe,4th Floor,Apartment 432 Entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-172
175,Ceiling Strobe,4th Floor,Apartment 432 Bathroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-173
176,Ceiling Horn Strobe,4th Floor,Apartment 432 Bedroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-174
177,Heat Detector,4th Floor,Apartment 441,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-175
178,Horn Strobe,4th Floor,Apartment 441,TRUE,FALSE,FALSE,,,Pass,,,,Pass-176
179,Smoke Detector,4th Floor,By Apartment 436,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-177
180,Horn Strobe,4th Floor,Hall Between 441 and 443,TRUE,FALSE,FALSE,,,Pass,,,,Pass-178
181,Heat Detector,4th Floor,Apartment 436,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-179
182,Horn Strobe,4th Floor,Apartment 436 Entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-180
183,Ceiling Strobe,4th Floor,Apartment 436 Bathroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-181
184,Ceiling Horn Strobe,4th Floor,Apartment 436 Bedroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-182
185,Heat Detector,4th Floor,Apartment 443,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-183
186,Horn,4th Floor,Apartment 443,TRUE,FALSE,FALSE,,,Pass,,,,Pass-184
187,Smoke Detector,4th Floor,Hall By apartment 448,TRUE,FALSE,FALSE,,,Pass,,,,Pass-185
188,Horn Strobe,4th Floor,Hall By apartment 448,TRUE,FALSE,FALSE,,,Pass,,,,Pass-186
